deaths,cases,Country,Date
1,4,United States of America,17/02/15
,1,United Kingdom,17/02/15
,7,Mali,17/02/15
,3149,Liberia,17/02/15
7,19,Nigeria,17/02/15
0,1,Spain,17/02/15
1683,2727,Guinea,17/02/15
,7,Mali,18/02/15
,3149,Liberia,18/02/15
7,19,Nigeria,18/02/15
0,1,Senegal,18/02/15
1683,2727,Guinea,18/02/15
3042,8212,Sierra Leone,18/02/15
1,4,United States of America,18/02/15
0,1,Spain,18/02/15
,1,United Kingdom,18/02/15
1686,2732,Guinea,19/02/15
7,19,Nigeria,19/02/15
0,1,Spain,19/02/15
,1,United Kingdom,19/02/15
,7,Mali,19/02/15
0,1,Senegal,19/02/15
3057,8223,Sierra Leone,19/02/15
,3152,Liberia,19/02/15
1,4,United States of America,19/02/15
,7,Mali,20/02/15
0,1,Senegal,20/02/15
7,19,Nigeria,20/02/15
1,4,United States of America,20/02/15
3057,8223,Sierra Leone,20/02/15
0,1,Spain,20/02/15
,3152,Liberia,20/02/15
1688,2734,Guinea,20/02/15
,1,United Kingdom,20/02/15
0,1,Spain,23/02/15
,1,United Kingdom,23/02/15
,7,Mali,23/02/15
7,19,Nigeria,23/02/15
3057,8223,Sierra Leone,23/02/15
,3153,Liberia,23/02/15
1,4,United States of America,23/02/15
1699,2758,Guinea,23/02/15
0,1,Senegal,23/02/15
,7,Mali,25/02/15
3095,8289,Sierra Leone,25/02/15
,1,United Kingdom,25/02/15
1704,2762,Guinea,25/02/15
0,1,Spain,25/02/15
7,19,Nigeria,25/02/15
,3153,Liberia,25/02/15
1,4,United States of America,25/02/15
0,1,Senegal,25/02/15
1714,2781,Guinea,26/02/15
0,1,Senegal,26/02/15
,7,Mali,26/02/15
,1,United Kingdom,26/02/15
1,4,United States of America,26/02/15
3113,8308,Sierra Leone,26/02/15
0,1,Spain,26/02/15
,3153,Liberia,26/02/15
7,19,Nigeria,26/02/15
7,19,Nigeria,27/02/15
,1,United Kingdom,27/02/15
,7,Mali,27/02/15
3124,8320,Sierra Leone,27/02/15
0,1,Spain,27/02/15
1721,2790,Guinea,27/02/15
0,1,Senegal,27/02/15
,3153,Liberia,27/02/15
1,4,United States of America,27/02/15
3164,8353,Sierra Leone,02/03/15
,3153,Liberia,02/03/15
1,4,United States of America,02/03/15
7,19,Nigeria,02/03/15
,1,United Kingdom,02/03/15
1735,2808,Guinea,02/03/15
0,1,Senegal,02/03/15
,7,Mali,02/03/15
0,1,Spain,02/03/15
,3153,Liberia,04/03/15
,7,Mali,04/03/15
1735,2808,Guinea,04/03/15
0,1,Spain,04/03/15
1,4,United States of America,04/03/15
0,1,Senegal,04/03/15
7,19,Nigeria,04/03/15
,1,United Kingdom,04/03/15
3164,8353,Sierra Leone,04/03/15
0,1,Spain,05/03/15
0,1,Senegal,05/03/15
1749,2833,Guinea,05/03/15
3199,8383,Sierra Leone,05/03/15
,3150,Liberia,05/03/15
,1,United Kingdom,05/03/15
7,19,Nigeria,05/03/15
1,4,United States of America,05/03/15
,7,Mali,05/03/15
0,1,Senegal,06/03/15
7,19,Nigeria,06/03/15
,7,Mali,06/03/15
1,4,United States of America,06/03/15
3210,8389,Sierra Leone,06/03/15
,3150,Liberia,06/03/15
,1,United Kingdom,06/03/15
0,1,Spain,06/03/15
1755,2840,Guinea,06/03/15
3263,8428,Sierra Leone,10/03/15
0,1,Spain,10/03/15
7,19,Nigeria,10/03/15
,1,United Kingdom,10/03/15
,3150,Liberia,10/03/15
,7,Mali,10/03/15
0,1,Senegal,10/03/15
1,4,United States of America,10/03/15
1778,2871,Guinea,10/03/15
7,19,Nigeria,11/03/15
,3150,Liberia,11/03/15
1778,2871,Guinea,11/03/15
0,1,Spain,11/03/15
,7,Mali,11/03/15
0,1,Senegal,11/03/15
1,4,United States of America,11/03/15
,1,United Kingdom,11/03/15
3263,8428,Sierra Leone,11/03/15
7,19,Nigeria,12/03/15
,7,Mali,12/03/15
1792,2901,Guinea,12/03/15
,1,United Kingdom,12/03/15
,3150,Liberia,12/03/15
0,1,Spain,12/03/15
0,1,Senegal,12/03/15
1,4,United States of America,12/03/15
3289,8463,Sierra Leone,12/03/15
1797,2911,Guinea,13/03/15
,1,United Kingdom,13/03/15
3297,8469,Sierra Leone,13/03/15
,7,Mali,13/03/15
7,19,Nigeria,13/03/15
0,1,Senegal,13/03/15
1,4,United States of America,13/03/15
,3150,Liberia,13/03/15
0,1,Spain,13/03/15
,3150,Liberia,16/03/15
1,4,United States of America,16/03/15
0,1,Spain,16/03/15
0,1,Senegal,16/03/15
3321,8484,Sierra Leone,16/03/15
7,19,Nigeria,16/03/15
,1,United Kingdom,16/03/15
1821,2957,Guinea,16/03/15
,7,Mali,16/03/15
7,19,Nigeria,17/03/15
3325,8487,Sierra Leone,17/03/15
1829,2966,Guinea,17/03/15
1,4,United States of America,17/03/15
0,1,Spain,17/03/15
0,1,Senegal,17/03/15
,1,United Kingdom,17/03/15
,3150,Liberia,17/03/15
,7,Mali,17/03/15
3325,8487,Sierra Leone,18/03/15
1829,2966,Guinea,18/03/15
